"wiki";"label";"type";"code";"iso3"
"Q695";"Palau";"country_name";"NA_PLW";"PLW"
"Q36526";"Port Moresby";"capital_city";"CA_PNG";"PNG"
"Q691";"Papua New Guinea";"country_name";"NA_PNG";"PNG"
"Q270";"Warsaw";"capital_city";"CA_POL";"POL"
"Q36";"Poland";"country_name";"NA_POL";"POL"
"Q18808";"Pyongyang";"capital_city";"CA_PRK";"PRK"
"Q423";"North Korea";"country_name";"NA_PRK";"PRK"
"Q597";"Lisbon";"capital_city";"CA_PRT";"PRT"
"Q45";"Portugal";"country_name";"NA_PRT";"PRT"
"Q2933";"Asunción";"capital_city";"CA_PRY";"PRY"
"Q733";"Paraguay";"country_name";"NA_PRY";"PRY"
"Q158119";"Ramallah";"capital_city";"CA_PSE";"PSE"
"Q47492";"Gaza city";"capital_city";"CA_PSE";"PSE"
"Q407199";"Palestinian territories";"country_name";"NA_PSE";"PSE"
"Q36678";"West Bank";"country_name";"NA_PSE";"PSE"
"Q39760";"Gaza Strip";"country_name";"NA_PSE";"PSE"
"Q3861";"Doha";"capital_city";"CA_QAT";"QAT"
"Q846";"Qatar";"country_name";"NA_QAT";"QAT"
"Q19660";"Bucharest";"capital_city";"CA_ROU";"ROU"
"Q218";"Romania";"country_name";"NA_ROU";"ROU"
"Q649";"Moscow";"capital_city";"CA_RUS";"RUS"
"Q159";"Russia";"country_name";"NA_RUS";"RUS"
"Q3859";"Kigali";"capital_city";"CA_RWA";"RWA"
"Q1037";"Rwanda";"country_name";"NA_RWA";"RWA"
"Q3692";"Riyadh";"capital_city";"CA_SAU";"SAU"
"Q851";"Saudi Arabia";"country_name";"NA_SAU";"SAU"
"Q1963";"Khartoum";"capital_city";"CA_SDN";"SDN"
"Q1049";"Sudan";"country_name";"NA_SDN";"SDN"
"Q3718";"Dakar";"capital_city";"CA_SEN";"SEN"
"Q1041";"Senegal";"country_name";"NA_SEN";"SEN"
"Q334";"Singapore";"capital_city";"CA_SGP";"SGP"
"Q334";"Singapore";"country_name";"NA_SGP";"SGP"
"Q40921";"Honiara";"capital_city";"CA_SLB";"SLB"
"Q685";"Solomon Islands";"country_name";"NA_SLB";"SLB"
"Q3780";"Freetown";"capital_city";"CA_SLE";"SLE"
"Q1044";"Sierra Leone";"country_name";"NA_SLE";"SLE"
"Q3110";"San Salvador";"capital_city";"CA_SLV";"SLV"
"Q792";"El Salvador";"country_name";"NA_SLV";"SLV"
"Q1848";"San Marino";"capital_city";"CA_SMR";"SMR"
"Q238";"San Marino";"country_name";"NA_SMR";"SMR"
"Q2449";"Mogadishu";"capital_city";"CA_SOM";"SOM"
"Q1045";"Somalia";"country_name";"NA_SOM";"SOM"
"Q3711";"Belgrade";"capital_city";"CA_SRB";"SRB"
"Q403";"Serbia";"country_name";"NA_SRB";"SRB"
"Q1947";"Juba";"capital_city";"CA_SSD";"SSD"
"Q958";"South Sudan";"country_name";"NA_SSD";"SSD"
"Q3932";"São Tomé";"capital_city";"CA_STP";"STP"
"Q1039";"São Tomé and Príncipe";"country_name";"NA_STP";"STP"
"Q3001";"Paramaribo";"capital_city";"CA_SUR";"SUR"
"Q730";"Suriname";"country_name";"NA_SUR";"SUR"
"Q1780";"Bratislava";"capital_city";"CA_SVK";"SVK"
"Q214";"Slovakia";"country_name";"NA_SVK";"SVK"
"Q437";"Ljubljana";"capital_city";"CA_SVN";"SVN"
"Q215";"Slovenia";"country_name";"NA_SVN";"SVN"
"Q1754";"Stockholm";"capital_city";"CA_SWE";"SWE"
"Q34";"Sweden";"country_name";"NA_SWE";"SWE"
"Q3904";"Mbabane";"capital_city";"CA_SWZ";"SWZ"
"Q1050";"Eswatini";"country_name";"NA_SWZ";"SWZ"
"Q3940";"Victoria";"capital_city";"CA_SYC";"SYC"
"Q1042";"Seychelles";"country_name";"NA_SYC";"SYC"
"Q3766";"Damascus";"capital_city";"CA_SYR";"SYR"
"Q858";"Syria";"country_name";"NA_SYR";"SYR"
"Q3659";"N Djamena";"capital_city";"CA_TCD";"TCD"
"Q657";"Chad";"country_name";"NA_TCD";"TCD"
"Q3792";"Lomé";"capital_city";"CA_TGO";"TGO"
"Q945";"Togo";"country_name";"NA_TGO";"TGO"
"Q1861";"Bangkok";"capital_city";"CA_THA";"THA"
"Q869";"Thailand";"country_name";"NA_THA";"THA"
"Q9365";"Dushanbe";"capital_city";"CA_TJK";"TJK"
"Q863";"Tajikistan";"country_name";"NA_TJK";"TJK"
"Q23438";"Ashgabat";"capital_city";"CA_TKM";"TKM"
"Q874";"Turkmenistan";"country_name";"NA_TKM";"TKM"
"Q9310";"Dili";"capital_city";"CA_TLS";"TLS"
"Q574";"Timor-Leste";"country_name";"NA_TLS";"TLS"
"Q38834";"Nuku alofa";"capital_city";"CA_TON";"TON"
"Q678";"Tonga";"country_name";"NA_TON";"TON"
"Q39178";"Port of Spain";"capital_city";"CA_TTO";"TTO"
"Q754";"Trinidad and Tobago";"country_name";"NA_TTO";"TTO"
"Q3572";"Tunis";"capital_city";"CA_TUN";"TUN"
"Q948";"Tunisia";"country_name";"NA_TUN";"TUN"
"Q3640";"Ankara";"capital_city";"CA_TUR";"TUR"
"Q43";"Turkey";"country_name";"NA_TUR";"TUR"
"Q34126";"Funafuti";"capital_city";"CA_TUV";"TUV"
"Q672";"Tuvalu";"country_name";"NA_TUV";"TUV"
"Q1867";"Taipei";"capital_city";"CA_TWN";"TWN"
"Q865";"Taiwan";"country_name";"NA_TWN";"TWN"
"Q3866";"Dodoma";"capital_city";"CA_TZA";"TZA"
"Q924";"Tanzania";"country_name";"NA_TZA";"TZA"
"Q3894";"Kampala";"capital_city";"CA_UGA";"UGA"
"Q1036";"Uganda";"country_name";"NA_UGA";"UGA"
"Q1899";"Kyiv";"capital_city";"CA_UKR";"UKR"
"Q212";"Ukraine";"country_name";"NA_UKR";"UKR"
