"id";"lang";"label";"type";"code";"iso3"
"Q241";"fr";"la République de Cuba";"country_name";"NA_CUB";"CUB"
"Q23681";"fr";"Chypre du Nord";"country_name";"CA_CYN";"CYN"
"Q23681";"fr";"Chypre Nord";"country_name";"CA_CYN";"CYN"
"Q23681";"fr";"Chypre-Nord";"country_name";"CA_CYN";"CYN"
"Q23681";"fr";"État chypriote turc";"country_name";"CA_CYN";"CYN"
"Q23681";"fr";"État turc de Chypre";"country_name";"CA_CYN";"CYN"
"Q23681";"fr";"République turque de Chypre du nord";"country_name";"CA_CYN";"CYN"
"Q229";"fr";"Chypre";"country_name";"NA_CYP";"CYP"
"Q229";"fr";"Chypre-Sud";"country_name";"NA_CYP";"CYP"
"Q229";"fr";"Chypriotes";"country_name";"NA_CYP";"CYP"
"Q229";"fr";"République de Chypre";"country_name";"NA_CYP";"CYP"
"Q229";"fr";"république de Chypre";"country_name";"NA_CYP";"CYP"
"Q3856";"fr";"Nicosie";"capital_city";"CA_CYP";"CYP"
"Q1085";"fr";"Prague";"capital_city";"CA_CZE";"CZE"
"Q213";"fr";"Bohémie";"country_name";"NA_CZE";"CZE"
"Q213";"fr";"la République tchèque";"country_name";"NA_CZE";"CZE"
"Q213";"fr";"Rép. tch.";"country_name";"NA_CZE";"CZE"
"Q213";"fr";"République tchèque";"country_name";"NA_CZE";"CZE"
"Q213";"fr";"Tchéquie";"country_name";"NA_CZE";"CZE"
"Q183";"fr";"All.";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"Allemagne";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"BR Deutschland";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"Bundesrepublik Deutschland";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"Deutschland";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"la République fédérale d Allemagne";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"R. F. A.";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"République fédérale allemande";"country_name";"NA_DEU";"DEU"
"Q183";"fr";"République fédérale d Allemagne";"country_name";"NA_DEU";"DEU"
"Q64";"fr";"Berlin";"capital_city";"CA_DEU";"DEU"
"Q977";"fr";"Djibouti";"country_name";"NA_DJI";"DJI"
"Q977";"fr";"la République de Djibouti";"country_name";"NA_DJI";"DJI"
"Q36281";"fr";"Roseau";"capital_city";"CA_DMA";"DMA"
"Q784";"fr";"Dominica";"country_name";"NA_DMA";"DMA"
"Q784";"fr";"Dominique";"country_name";"NA_DMA";"DMA"
"Q784";"fr";"le Commonwealth de Dominique";"country_name";"NA_DMA";"DMA"
"Q1748";"fr";"Copenhague";"capital_city";"CA_DNK";"DNK"
"Q1748";"fr";"København";"capital_city";"CA_DNK";"DNK"
"Q35";"fr";"Dan.";"country_name";"NA_DNK";"DNK"
"Q35";"fr";"Danemark";"country_name";"NA_DNK";"DNK"
"Q35";"fr";"Danemark métropolitain";"country_name";"NA_DNK";"DNK"
"Q35";"fr";"Danemark propre";"country_name";"NA_DNK";"DNK"
"Q35";"fr";"royaume du Danemark";"country_name";"NA_DNK";"DNK"
"Q34820";"fr";"Ciudad Trujillo";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Saint Domingue";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Saint-Domingue";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Saint-domingue";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"San Domingo";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Santo Domingo de Guzmán";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Santo Dominguo";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Santo-Domingo";"capital_city";"CA_DOM";"DOM"
"Q34820";"fr";"Ville de Saint-Domingue";"capital_city";"CA_DOM";"DOM"
"Q786";"fr";"la République dominicaine";"country_name";"NA_DOM";"DOM"
"Q786";"fr";"République dominicaine";"country_name";"NA_DOM";"DOM"
"Q262";"fr";"Alg.";"country_name";"NA_DZA";"DZA"
"Q262";"fr";"Algerie";"country_name";"NA_DZA";"DZA"
"Q262";"fr";"Algérie";"country_name";"NA_DZA";"DZA"
"Q262";"fr";"la République algérienne démocratique populaire";"country_name";"NA_DZA";"DZA"
"Q262";"fr";"RADP";"country_name";"NA_DZA";"DZA"
"Q262";"fr";"République algérienne démocratique et populaire";"country_name";"NA_DZA";"DZA"
"Q3561";"fr";"Alger";"capital_city";"CA_DZA";"DZA"
"Q2900";"fr";"Quito";"capital_city";"CA_ECU";"ECU"
"Q2900";"fr";"San Francisco de Quito";"capital_city";"CA_ECU";"ECU"
"Q736";"fr";"Équateur";"country_name";"NA_ECU";"ECU"
"Q736";"fr";"L Équateur";"country_name";"NA_ECU";"ECU"
"Q736";"fr";"la République d Équateur";"country_name";"NA_ECU";"ECU"
"Q736";"fr";"République d Équateur";"country_name";"NA_ECU";"ECU"
"Q736";"fr";"République de l Équateur";"country_name";"NA_ECU";"ECU"
"Q79";"fr";"Egypte";"country_name";"NA_EGY";"EGY"
"Q79";"fr";"Égypte";"country_name";"NA_EGY";"EGY"
"Q79";"fr";"la République arabe d Égypte";"country_name";"NA_EGY";"EGY"
"Q85";"fr";"Caire";"capital_city";"CA_EGY";"EGY"
"Q85";"fr";"Cairo";"capital_city";"CA_EGY";"EGY"
"Q85";"fr";"Le Caire";"capital_city";"CA_EGY";"EGY"
"Q85";"fr";"Le Kaire";"capital_city";"CA_EGY";"EGY"
"Q3642";"fr";"Asmara";"capital_city";"CA_ERI";"ERI"
"Q3642";"fr";"Asmera";"capital_city";"CA_ERI";"ERI"
"Q986";"fr";"Erythrée";"country_name";"NA_ERI";"ERI"
"Q986";"fr";"Érythrée";"country_name";"NA_ERI";"ERI"
"Q986";"fr";"État d Érythrée";"country_name";"NA_ERI";"ERI"
"Q6250";"fr";"Sahara occidental";"country_name";"NA_ESH";"ESH"
"Q2807";"fr";"Madrid";"capital_city";"CA_ESP";"ESP"
"Q2807";"fr";"Madrid (Espagne)";"capital_city";"CA_ESP";"ESP"
"Q2807";"fr";"Ville de Madrid";"capital_city";"CA_ESP";"ESP"
"Q29";"fr";"Esp.";"country_name";"NA_ESP";"ESP"
"Q29";"fr";"Espagne";"country_name";"NA_ESP";"ESP"
"Q29";"fr";"État espagnol";"country_name";"NA_ESP";"ESP"
"Q29";"fr";"Royaume d Espagne";"country_name";"NA_ESP";"ESP"
"Q1770";"fr";"Reval";"capital_city";"CA_EST";"EST"
"Q1770";"fr";"Tallinn";"capital_city";"CA_EST";"EST"
"Q191";"fr";"Esthonie";"country_name";"NA_EST";"EST"
"Q191";"fr";"Estonie";"country_name";"NA_EST";"EST"
"Q191";"fr";"la République d Estonie";"country_name";"NA_EST";"EST"
"Q191";"fr";"République d Estonie";"country_name";"NA_EST";"EST"
"Q115";"fr";"Éthiopie";"country_name";"NA_ETH";"ETH"
"Q115";"fr";"la République démocratique fédérale d Éthiopie";"country_name";"NA_ETH";"ETH"
