id;lang;label
Q218;fr;Roum.
Q218;fr;Roumanie
Q219;fr;Bulg.
Q219;fr;Bulgarie
Q219;fr;la République de Bulgarie
Q220;fr;La ville aux sept collines
Q220;fr;La ville éternelle
Q220;fr;Roma
Q220;fr;Rome
Q221;fr;ARYM
Q221;fr;FYROM
Q221;fr;L Ancienne République yougoslave de Macédoine
Q221;fr;L ex-République yougoslave de Macédoine
Q221;fr;la République de Macédoine du Nord
Q221;fr;Macédoine
Q221;fr;Macédoine du Nord
Q221;fr;Macédoine Du Nord
Q221;fr;République de Macédoine
Q222;fr;Albanie
Q222;fr;la République d Albanie
Q222;fr;République d Albanie
Q224;fr;Croatie
Q224;fr;la République de Croatie
Q225;fr;Bosnie et Herzégovine
Q225;fr;Bosnie-et-Herzégovine
Q225;fr;Bosnie-Herzégovine
Q225;fr;Bosnie-herzégovine
Q225;fr;la Bosnie-Herzégovine
Q227;fr;Azerbaïdjan
Q227;fr;la République d Azerbaïdjan
Q228;fr;Andorre
Q228;fr;la Principauté d Andorre
Q228;fr;Principauté d Andorre
Q2280;fr;Minsk
Q229;fr;Chypre
Q229;fr;Chypre-Sud
Q229;fr;Chypriotes
Q229;fr;République de Chypre
Q229;fr;république de Chypre
Q230;fr;Géorg.
Q230;fr;Géorgie
Q230;fr;Géorgie (Pays)
Q230;fr;république de Géorgie
Q232;fr;Kazakh.
Q232;fr;Kazakhstan
Q232;fr;Kazakstan
Q232;fr;la République du Kazakhstan
Q232;fr;Qazaqstan
Q233;fr;la République de Malte
Q233;fr;Malte
Q23427;fr;Ossétie du Sud-Alanie
Q23427;fr;Ossetie-du-Sud
Q23427;fr;Ossétie-du-Sud
Q23427;fr;République d Ossétie du Sud
Q23430;fr;Ikh khüree
Q23430;fr;Niislel khüree
Q23430;fr;Nomyn khüree
Q23430;fr;Örgöö
Q23430;fr;Oulan Bator
Q23430;fr;Oulan-Bator
Q23430;fr;Oulan-bator
Q23430;fr;Ourga
Q23430;fr;Ulaan Baatar
Q23430;fr;Ulaanbaatar
Q23430;fr;Ulan-Bator
Q23438;fr;Achgabad
Q23438;fr;Achgabat
Q23438;fr;Achkabad
Q23438;fr;Achkhabad
Q23438;fr;Asgabat
Q23438;fr;Ashgabad
